TAIR ID,C0,P0,C30C,P30C,C60C,P60C,C120C,P120C,C30L,P30L,C60L,P60L,C120L,P120L
AT2G01060,17.71,17.46,16.56,19.26,17.93,17.75,17.8,19.5,16.13,17.74,14.91,15.29,15.29,15.73
AT2G01031,0.11,0.08,0,0.08,0,0.05,0,0,0,0.04,0,0.04,0,0
AT2G01080,4.62,4.41,3.39,5.1,4.6,5.09,6.17,6.45,4.31,4.27,3.18,4.48,4.86,5.44
AT2G01070,12.31,11.77,10.33,9.32,10.13,10.12,9.95,9.64,10.67,9.95,10.47,10.62,8.6,10.1
AT2G01090,23.63,23.19,26.02,27.42,22.43,26.97,25.95,28.82,27.68,25.08,20.14,27.32,24.54,25.5
AT2G01100,21.24,19.15,16.6,18.13,14.57,16.6,15.86,15.47,22.26,21.57,25.48,23.15,27,25.51
AT2G01110,93.27,102.85,110.29,103.8,103.78,102.95,104.31,106.89,106.25,104.31,94.67,103.29,101.79,105.85
AT2G01120,2.4,2.39,1.59,2.33,2.34,2.22,2.11,2.2,2.33,1.97,2.02,2.08,2.67,2.42
AT2G01130,5.15,4.51,3.38,3.93,4.43,4.15,4.05,4.14,4.3,4,4.13,3.59,3.73,4.44
AT2G01140,51.63,47.25,45.4,49.9,46.99,53.14,45.4,50.75,49.7,48.78,43.8,47.94,54.62,50.81
AT2G01150,6.37,5.18,6.74,6.27,9.11,9.09,12.9,11.83,25.69,29.13,26.22,27.39,17.85,15.54
AT2G01170,5.39,5.12,5.06,5.06,6.21,7.12,11.99,11.12,6.23,6.51,7.53,8.3,15.63,14.53
AT2G01180,10.15,9.63,17.4,17.7,14.5,17.25,11.75,10.34,9.27,11.44,9.62,13.22,3.82,4.09
AT2G01190,13.33,13.2,13.74,14.76,14.54,16.32,17.14,19.36,13.49,13.8,13.41,13.18,12.69,14.74
AT2G01200,0,0.03,0,0,0.05,0.05,0.1,0.4,0,0.02,0.08,0.13,0.27,0.48
AT2G01210,0.72,0.71,0.34,0.46,0.34,0.36,0.71,0.51,0.46,0.36,0.46,0.39,0.64,0.48
AT2G01220,17.07,16.95,14.3,14.47,13.68,13.89,13.9,14.47,15.9,17.04,15.51,18.04,15.74,16.96
AT2G01250,173.3,157.44,156.56,165.25,173.05,168.17,169.46,179.64,188.16,167.12,168.59,161.57,235.51,208.39
AT2G01260,20.81,20.83,20.92,20.37,18.61,19.95,20.03,20.92,22.17,21.21,21.87,20.93,19.05,23.07
AT2G01270,16.56,17.21,15.14,15.65,15.31,15.56,15.62,15.35,15.18,13.83,15.5,13.57,14.56,16.89
AT2G01275,0.18,0.26,0.11,0.4,0.21,0.38,0.4,0.34,0.22,0.28,0.27,0.23,0.25,0.33
AT2G01280,0.16,0.11,0.29,0.39,0.2,0.38,0.27,0.16,0.31,0.42,0.17,0.19,0.19,0.4
AT2G01290,57.47,51.2,54.04,50.51,49.11,47.26,43.35,44.08,77.37,64.45,67.98,71.83,63.57,75.16
AT2G01300,0.85,0.75,3.78,4.21,4.13,5.78,2.89,2.81,0.41,0.27,0.59,0.29,0.34,0.26
AT2G01320,16.69,16.73,17.07,15.78,17.58,16.37,16.97,15.54,16,15.63,15.1,12.5,13.31,14.02
AT2G01330,3.42,3.02,2.96,3.01,2.96,2.73,3.45,3.29,2.03,2.23,2.37,2.4,3.01,2.87
AT2G01340,4.37,3.46,5.54,5.34,5.9,4.84,4.1,3.68,3.92,3.85,2.36,3.01,1.68,1.46
AT2G01350,43.16,40.14,40.8,40.66,44.12,40.43,38.34,40.01,38.39,42.74,44.38,43.44,44.09,44.83
AT2G01390,0.47,0.5,0.29,0.44,0.47,0.46,0.36,0.54,0.36,0.5,0.63,0.49,0.49,0.61
AT2G01400,4.47,3.85,2.82,3.8,4.23,4.16,3.7,2.92,3.47,3.39,3.79,4.15,3.07,3.86
AT2G01410,14.74,13.67,12.74,14.85,11.02,13.83,12.56,11.22,13.58,10.39,12.35,14.49,15.84,16.85
AT2G01420,22.24,24.93,18.45,19.99,18.07,18.33,14.02,11.65,13.41,10.85,8.3,8.3,10.27,13.69
AT2G01430,0.3,0.22,0.18,0.27,0.19,0.04,0.04,0.08,0.17,0.23,0.34,0.3,0.44,0.4
AT2G01440,5.27,6.67,5.27,5.06,5.45,5.15,5.58,5.17,5.29,5,5.16,4.07,3.92,4.32
AT2G01450,42.9,32.58,41.29,37.95,45.28,39.38,34.97,32.23,32.5,34.44,48.05,40.72,41.31,31.63
AT2G01460,3.26,2.75,2.45,2.6,2.9,2.76,2.76,2.57,2.59,2.98,2.84,2.56,2.29,2.5
AT2G01470,19.73,19.13,18.39,20.3,17.59,20.39,18.68,18.54,19.29,20,19.89,21.02,21.06,22.03
AT2G01480,4.26,4.07,3.89,3.85,4.66,4.36,4.39,3.96,3.71,3.25,3.92,3.42,3.93,4.22
AT2G01490,27,26.84,27.98,28.49,25.03,30.13,24.39,24.62,25.45,27.78,25.27,24.14,23.97,24.54
AT2G01500,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
AT2G01510,0.25,0.19,0.32,0.25,0.39,0.22,0.16,0.27,0.19,0.26,0.2,0.2,0.2,0.24
AT2G01520,0.09,0.03,0.24,0.14,0.9,0.25,0.15,0,0.08,0,0.14,0.04,0.09,0.11
AT2G01530,0.04,0.06,0,0.03,0.16,0.2,0.07,0.04,0.04,0,0,0.07,0.08,0.04
AT2G01540,4.52,3.8,3.85,5.79,4.35,6.13,4.98,5.49,4.1,5.3,4.1,4.87,4.95,4.85
AT2G01570,35.36,35.01,37.26,35.78,36.63,36.07,33.04,30.96,49.31,46.13,38.77,34.94,20.15,26.89
AT2G01580,0,0.03,0.04,0,0.08,0.08,0,0.09,0,0,0,0,0,0
AT2G01590,74.8,75.11,78.36,78.41,64.74,69.08,64.84,74.59,74.4,72.51,63.34,68.07,53.29,62.17
AT2G01600,34.21,32.26,33.47,34.25,32.9,34.91,32.57,30.46,31.83,32.66,33.73,35.26,29.55,31.42
AT2G01610,2.46,1.69,1,1.81,1.39,2.05,1.36,2.7,1.36,0.71,0.73,0.96,2.18,1.74
AT2G01620,17.5,18.34,17.12,17.2,14.31,15.6,13.01,16.22,14.78,18.45,15.69,18.73,13.91,17.44
AT2G01630,8.8,8.24,8.03,7.47,8.98,7.57,7.48,7.55,8.4,6.8,7.53,6.97,8.61,8.31
AT2G01640,7.74,7.6,6.97,7.9,8.34,9.58,9.2,9.05,6.79,7.02,7.75,9.34,11.91,10.39
AT2G01650,9.24,8.19,8.79,10.45,9.01,9.67,8.41,7.94,9,11.49,9.57,9.47,9.23,9.95
AT2G01660,1.21,1.15,0.51,1.07,1.07,0.92,0.96,1.16,1.14,0.88,1.19,0.62,0.76,0.53
AT2G01670,31.92,32.39,28.31,32.13,21.22,24.59,17.05,17.49,33.59,29.47,41.41,33.55,16.81,20.97
AT2G01680,15.09,17.36,14,15.73,10.07,11.63,7.42,8,12.13,12.62,11.78,12.42,9.42,12.98
AT2G01690,17.56,17.05,15,15.18,16.98,15.26,14.43,13.96,16.72,16.75,20.73,17.18,16.24,16.59
AT2G01710,12.64,13.71,11.3,11.86,10.78,11.14,10.56,9.85,11.99,13.6,12.56,13.13,13.98,13.51
AT2G01720,30.02,27.87,28.09,28.2,29.68,28.08,28.17,30.52,31.28,32.96,31.13,30.63,34.55,37.75
AT2G01730,0.19,0.18,0.15,0.29,0.26,0.29,0.37,0.42,0.23,0.36,0.18,0.25,0.47,0.37
AT2G01735,4.87,5.64,4.24,4.91,4.2,5.06,3.71,3.95,4.57,5.14,3.99,3.87,3.6,3.28
