TF,target genes
AT4G25470,AT1G04240
AT4G25470,AT1G13260
AT4G25470,AT1G32640
AT4G25470,AT1G43160
AT4G25470,AT1G46768
AT4G25470,AT1G77120
AT4G25470,AT2G39030
AT4G25470,AT2G42540
AT4G25470,AT3G50970
AT4G25470,AT4G25480
AT4G25470,AT4G25490
AT4G25470,AT5G15960
AT4G25470,AT5G17490
AT4G25470,AT5G52310
AT4G25480,AT1G09350
AT4G25480,AT1G20440
AT4G25480,AT1G20450
AT4G25480,AT1G20620
AT4G25480,AT1G43160
AT4G25480,AT1G46768
AT4G25480,AT2G15050
AT4G25480,AT2G42530
AT4G25480,AT2G42540
AT4G25480,AT3G11410
AT4G25480,AT3G12580
AT4G25480,AT3G50970
AT4G25480,AT5G15960
AT4G25480,AT5G15970
AT4G25480,AT5G17490
AT4G25480,AT5G25610
AT4G25480,AT5G52310
AT4G25490,AT1G02400
AT4G25490,AT1G15550
AT4G25490,AT1G20440
AT4G25490,AT1G20630
AT4G25490,AT1G43160
AT4G25490,AT1G46768
AT4G25490,AT2G34555
AT4G25490,AT2G42540
AT4G25490,AT3G50970
AT4G25490,AT3G55610
AT4G25490,AT5G15960
AT4G25490,AT5G15970
AT4G25490,AT5G17490
AT4G25490,AT5G52310
