TF ID,TF alias
AT1G01060,LHY
AT1G01380,ETC1
AT1G01530,AGL28
AT1G02340,HFR1
AT1G04370,ERF14
AT1G06160,ORA59
AT1G07640,OBP2
AT1G09530,PIF3
AT1G09770,CDC5
AT1G10170,ATNFXL1
AT1G12610,DDF1
AT1G12860,SCRM2
AT1G12980,ESR1
AT1G13960,WRKY4
AT1G14350,FLP
AT1G14920,GAI
AT1G15360,SHN1
AT1G16490,MYB58
AT1G18570,MYB51
AT1G19220,ARF19
AT1G19350,BES1
AT1G19850,MP
AT1G21970,LEC1
AT1G22070,TGA3
AT1G23420,INO
AT1G24260,SEP3
AT1G24590,DRNL
AT1G25560,TEM1
AT1G26310,CAL
AT1G26870,FEZ
AT1G26945,KDR
AT1G27730,STZ
AT1G28300,LEC2
AT1G30210,TCP24
AT1G30330,ARF6
AT1G30490,PHV
AT1G32330,HSFA1D
AT1G32540,LOL1
AT1G32640,MYC2
AT1G32770,ANAC012
AT1G33240,AT-GTL1
AT1G34370,STOP1
AT1G34790,TT1
AT1G35515,HOS10
AT1G42990,BZIP60
AT1G45249,ABF2
AT1G46768,RAP2.1
AT1G47870,E2FC
AT1G51700,ADOF1
AT1G52150,ATHB-15
AT1G52880,NAM
AT1G52890,ANAC019
AT1G53230,TCP3
AT1G53910,RAP2.12
AT1G54060,ASIL1
AT1G55580,LAS
AT1G55600,WRKY10
AT1G56010,NAC1
AT1G56650,MYB75
AT1G62300,WRKY6
AT1G62360,BUM1
AT1G63650,EGL3
AT1G65620,AS2
AT1G66350,RGL1
AT1G66390,MYB90
AT1G66600,WRKY63
AT1G67260,TCP1
AT1G68640,PAN
AT1G69120,AP1
AT1G69180,CRC
AT1G69490,NAP
AT1G69600,ZFHD1
AT1G70510,KNAT2
AT1G71030,MYBL2
AT1G71692,AGL12
AT1G71930,VND7
AT1G73730,EIL3
AT1G74930,ORA47
AT1G75080,BZR1
AT1G76420,CUC3
AT1G77850,ARF17
AT1G78600,LZF1
AT1G79180,MYB63
AT1G79580,SMB
AT1G79840,GL2
AT2G01500,PFS2
AT2G01570,RGA1
AT2G01930,BPC1
AT2G02450,ANAC034
AT2G03340,WRKY3
AT2G16910,AMS
AT2G17950,WUS
AT2G20180,PIL5
AT2G22300,CAMTA3
AT2G22540,SVP
AT2G22630,AGL17
AT2G22770,NAI1
AT2G23760,BLH4
AT2G24570,WRKY17
AT2G26150,HSFA2
AT2G27050,EIL1
AT2G27300,NTL8
AT2G27990,BLH8
AT2G28160,FRU
AT2G28350,ARF10
AT2G28550,RAP2.7
AT2G28610,PRS
AT2G30250,WRKY25
AT2G30432,TCL1
AT2G33810,SPL3
AT2G33835,FES1
AT2G33860,ETT
AT2G33880,WOX9
AT2G34710,PHB
AT2G36010,E2F3
AT2G36270,ABI5
AT2G36890,RAX2
AT2G37260,TTG2
AT2G37630,AS1
AT2G38470,WRKY33
AT2G40220,ABI4
AT2G40950,BZIP17
AT2G42200,SPL9
AT2G42830,SHP2
AT2G43010,PIF4
AT2G45190,AFO
AT2G45660,AGL20
AT2G46270,GBF3
AT2G46410,CPC
AT2G46680,ATHB-7
AT2G46770,EMB2301
AT2G46830,CCA1
AT2G46870,NGA1
AT2G46970,PIL1
AT2G47190,MYB2
AT2G47460,MYB12
AT3G01140,MYB106
AT3G01470,ATHB-1
AT3G02990,HSFA1E
AT3G03450,RGL2
AT3G04670,WRKY39
AT3G07650,COL9
AT3G10800,BZIP28
AT3G11440,MYB65
AT3G12250,TGA6
AT3G13540,MYB5
AT3G13890,MYB26
AT3G15170,CUC1
AT3G15210,ERF4
AT3G15500,ANAC055
AT3G15510,AT3G15510
AT3G16770,RAP2.3
AT3G16857,ARR1
AT3G17609,HYH
AT3G18990,VRN1
AT3G19290,ABF4
AT3G20310,ERF7
AT3G20770,EIN3
AT3G22170,FHY3
AT3G23130,SUP
AT3G23250,MYB15
AT3G24650,ABI3
AT3G25710,BHLH32
AT3G26744,ICE1
AT3G26790,FUS3
AT3G27785,MYB118
AT3G27810,MYB21
AT3G27920,GL1
AT3G28470,TDF1
AT3G28910,MYB30
AT3G44750,HDA3
AT3G46640,PCL1
AT3G48160,DEL1
AT3G48430,REF6
AT3G49940,LBD38
AT3G50410,OBP1
AT3G51060,STY1
AT3G54220,SCR
AT3G54320,WRI1
AT3G54340,AP3
AT3G54620,BZIP25
AT3G55370,OBP3
AT3G56400,WRKY70
AT3G58070,GIS
AT3G58780,SHP1
AT3G59060,PIL6
AT3G61850,DAG1
AT3G61890,ATHB-12
AT3G61910,ANAC066
AT3G62420,BZIP53
AT4G00120,IND
AT4G00180,YAB3
AT4G00220,JLO
AT4G01250,WRKY22
AT4G01540,NTM1
AT4G02560,LD
AT4G04450,WRKY42
AT4G08150,KNAT1
AT4G09820,TT8
AT4G09960,STK
AT4G15090,AT4G15090
AT4G16110,ARR2
AT4G16780,ATHB-2
AT4G17750,HSF1
AT4G18960,AG
AT4G20380,AT4G20380
AT4G21330,DYT1
AT4G21750,ATML1
AT4G23550,WRKY29
AT4G23810,WRKY53
AT4G24020,NLP7
AT4G24240,WRKY7
AT4G24470,TIFY1
AT4G24540,AGL24
AT4G25470,CBF2
AT4G25480,CBF3
AT4G25490,CBF1
AT4G25530,FWA
AT4G26150,GNL
AT4G27330,SPL
AT4G27410,RD26
AT4G28110,MYB41
AT4G28610,AtPHR1
AT4G30080,ARF16
AT4G31550,WRKY11
AT4G31800,WRKY18
AT4G31920,ARR10
AT4G32730,PC-MYB1
AT4G32880,ATHB8
AT4G32980,AT4G32980
AT4G34000,ABF3
AT4G34590,GBF6
AT4G34990,MYB32
AT4G35900,FD
AT4G36730,GBF1
AT4G36870,BLH2
AT4G36920,AP2
AT4G36930,SPT
AT4G37540,LBD39
AT4G37650,SHR
AT4G37750,ANT
AT4G38620,MYB4
AT5G01900,WRKY62
AT5G02030,RPL
AT5G02470,DPA
AT5G03150,JKD
AT5G03680,PTL
AT5G03790,HB51
AT5G04240,ELF6
AT5G05410,DREB2A
AT5G06070,RBE
AT5G06100,MYB33
AT5G06650,GIS2
AT5G06950,TGA2
AT5G06960,OBF5
AT5G07100,WRKY26
AT5G07690,MYB29
AT5G07700,MYB76
AT5G08130,BIM1
AT5G09750,HEC3
AT5G10140,FLC
AT5G10510,AIL6
AT5G11260,HY5
AT5G11510,MYB3R-4
AT5G12870,MYB46
AT5G13790,AGL15
AT5G14010,KNU
AT5G14750,WER
AT5G14960,DEL2
AT5G15840,CO
AT5G15850,COL1
AT5G16560,KAN
AT5G16820,HSF3
AT5G17300,RVE1
AT5G17430,BBM
AT5G18560,PUCHI
AT5G18830,SPL7
AT5G20240,PI
AT5G20730,ARF7
AT5G21120,EIL2
AT5G22220,E2F1
AT5G22570,WRKY38
AT5G23000,MYB37
AT5G23260,TT16
AT5G26660,MYB86
AT5G35550,TT2
AT5G35770,SAP
AT5G37020,ARF8
AT5G37260,RVE2
AT5G40330,MYB23
AT5G40350,MYB24
AT5G40360,MYB115
AT5G41315,GL3
AT5G41410,BEL1
AT5G42630,ATS/KAN4
AT5G43270,SPL2
AT5G45980,WOX8
AT5G47220,ERF2
AT5G48670,AGL80
AT5G51990,CBF4
AT5G52830,WRKY27
AT5G53200,TRY
AT5G53210,SPCH
AT5G53950,CUC2
AT5G54070,HSFA9
AT5G56110,AT5G56110
AT5G56270,WRKY2
AT5G56860,GNC
AT5G59570,AT5G59570
AT5G59820,RHL41
AT5G60690,REV
AT5G60890,MYB34
AT5G60910,AGL8
AT5G61270,PIF7
AT5G61420,MYB28
AT5G61850,LFY
AT5G62000,ARF2
